Time,UserID,LocationX,LocationY,RSRP1,RSRQ1,RSRP2,RSRQ2,RSRP3,RSRQ3,RSRP4,RSRQ4,Label
0.2,24,1182.3299250076,119.7224902754,-71.3659057869,nan,-76.7739707036,nan,-77.3388986937,nan,-77.7832337542,nan,0
0.2,25,867.7987046499,-24.7935798232,-59.8577030352,nan,-71.8009828521,nan,-73.5658275126,nan,-79.4805568719,nan,0
0.2,26,847.9935009556,1109.900687987,-72.7690460188,nan,-75.1321259483,nan,-75.2846527119,nan,-77.4892913498,nan,0
0.2,27,934.6113529756,305.8958659594,-60.9470066181,nan,-71.5427339825,nan,-76.6850296742,nan,-77.3172141832,nan,0
0.2,28,16.5413700613,588.0144005042,-64.8014780268,nan,-69.2456611607,nan,-73.941173273,nan,-76.2830174205,nan,0
0.2,29,715.981590066,555.5719395592,-67.9057237379,nan,-69.0384580795,nan,-70.8085174081,nan,-74.4175928968,nan,0
0.2,30,519.2372556571,839.3030315348,-66.5207657637,nan,-72.1697213038,nan,-72.6223894069,nan,-74.6758382746,nan,0
0.2,31,507.8569987073,381.3173885687,-56.9515254455,nan,-70.1828312975,nan,-70.8462821798,nan,-71.9923881787,nan,0
0.2,32,1106.0408753472,583.1850397422,-70.3902871149,nan,-73.5634790741,nan,-74.1099722817,nan,-74.5897472094,nan,0
0.2,33,-24.7572057655,-107.9168494919,-70.8668023342,nan,-74.2341248815,nan,-75.7706287791,nan,-78.3298770268,nan,0
0.2,34,-59.0826028846,645.0043895543,-65.1657067977,nan,-70.8695596296,nan,-74.8932485942,nan,-77.0878299387,nan,0
0.2,35,1227.7870826364,129.1191059297,-72.181303418,nan,-76.3588855595,nan,-76.9635827891,nan,-77.7578133687,nan,0
0.2,36,235.6812489896,305.1967964888,-68.2836871215,nan,-69.2938199562,nan,-70.0767289027,nan,-74.6936001715,nan,0
0.2,37,147.190753241,743.4141434342,-62.267936086,nan,-72.0836269704,nan,-75.9260512662,nan,-76.4416041724,nan,0
0.2,38,-165.7619650513,877.8364110876,-71.5269250446,nan,-77.5225350621,nan,-77.558049178,nan,-78.4906316743,nan,0
0.2,39,461.2527690907,192.2089850295,-66.5536805214,nan,-70.2445755702,nan,-71.3647090463,nan,-73.9139784673,nan,0
0.2,40,351.0142088617,727.1560530196,-68.1967204478,nan,-69.5803556848,nan,-73.2673556921,nan,-74.4047812364,nan,0
0.2,41,977.8681060848,706.9832543969,-68.0814009105,nan,-69.729034355,nan,-74.71632537,nan,-75.5720020016,nan,0
0.2,42,1139.604823047,686.5298172848,-71.8848029297,nan,-75.5735339044,nan,-75.6720623422,nan,-76.2374635097,nan,0
0.2,43,245.9443636519,109.0892274959,-60.774122441,nan,-70.1950857974,nan,-76.7294080141,nan,-76.9441497245,nan,0
0.2,44,-56.1883999272,202.5752653598,-65.8869602881,nan,-70.7603413726,nan,-75.0675592615,nan,-76.7966380736,nan,0
0.2,45,852.9455813775,415.2236250228,-68.2797112611,nan,-68.71267028,nan,-72.4846411937,nan,-75.057337107,nan,0
0.2,46,33.4523387394,852.8048810102,-72.4375160655,nan,-73.1291794614,nan,-74.5236648224,nan,-74.5315147483,nan,0
0.2,47,946.1305801124,900.3762811232,-63.9603615165,nan,-72.5171646091,nan,-74.6104095234,nan,-79.2101875022,nan,0
0.2,48,743.1332105213,437.0216949911,-65.5584914346,nan,-72.4885083687,nan,-72.690560202,nan,-74.4570177409,nan,0
0.2,49,-115.5262466828,1044.2978082495,-72.7638188555,nan,-74.5257310131,nan,-77.0608285478,nan,-78.8934159504,nan,0
0.2,50,573.0050832215,501.2202890332,-62.4955979044,nan,-69.9614378647,nan,-72.5220159317,nan,-73.0696500043,nan,0
0.2,51,415.197786984,511.3223896531,-59.8436416213,nan,-70.5892187455,nan,-71.9199923199,nan,-73.4914830762,nan,0
0.2,52,473.1985850488,810.24892588,-65.449536216,nan,-70.9862349637,nan,-72.6956946375,nan,-75.451728915,nan,0
0.2,53,704.9952015546,17.524393058,-56.7334502419,nan,-68.2854275811,nan,-70.9270999589,nan,-71.9873235046,nan,0
0.2,54,122.6808936896,-86.7983399621,-63.18224734,nan,-73.9666881746,nan,-76.9152650932,nan,-78.6246656722,nan,0
0.2,55,247.404967169,497.7173247002,-66.487139102,nan,-71.1981729047,nan,-71.2904922498,nan,-73.8657381003,nan,0
0.2,56,368.424575722,450.0671002474,-66.9850267752,nan,-69.1388145513,nan,-71.7563013766,nan,-73.1435748519,nan,0
0.2,57,825.3411824748,453.6931541883,-68.0911420999,nan,-69.5605694006,nan,-73.8565287061,nan,-74.2040122883,nan,0
0.2,58,308.8613458225,214.3155826548,-67.3681298121,nan,-69.7565683951,nan,-72.4394908787,nan,-74.4349141312,nan,0
0.2,59,984.607265752,341.1285597431,-58.6450949395,nan,-71.902136533,nan,-77.4133445254,nan,-77.6025853946,nan,0
0.2,60,1211.3817474347,894.7196376088,-71.1137046322,nan,-77.4293707744,nan,-78.9877578439,nan,-79.2404440756,nan,0
0.2,61,492.5397521263,121.1181465183,-68.1249436251,nan,-69.6412520192,nan,-69.9138070382,nan,-75.2600813283,nan,0
0.2,62,457.6441073621,520.7053386154,-57.7651614007,nan,-71.1087207542,nan,-71.4235906642,nan,-73.2494961455,nan,0
0.2,63,113.1250728239,352.9363951777,-63.6479942075,nan,-69.5520331229,nan,-72.7789404255,nan,-75.4723025762,nan,0
0.2,64,679.5269110664,746.5778303252,-60.8188527362,nan,-71.313479315,nan,-71.4147918532,nan,-76.711204415,nan,0
0.2,65,778.6025470973,429.3536082035,-66.729681591,nan,-73.1989801615,nan,-73.2732234576,nan,-73.4160677285,nan,0
0.2,66,-95.0265484932,-205.94642271,-71.877903481,nan,-75.1021717631,nan,-76.9617276195,nan,-79.1392867957,nan,0
0.2,67,819.8565604729,772.1329439936,-66.4901348641,nan,-69.4682136692,nan,-70.0041120331,nan,-73.1721837297,nan,0
0.2,68,807.6117182025,913.7346063657,-59.7514357025,nan,-71.2686422453,nan,-72.2061479995,nan,-72.7414048429,nan,0
0.2,69,-55.2412936204,141.4909869244,-68.1228962597,nan,-71.2690372897,nan,-75.7699014158,nan,-76.2317373088,nan,0
0.2,70,251.2706043514,310.8389003328,-68.3485974637,nan,-69.3947941038,nan,-69.9303512606,nan,-74.8769507912,nan,0
0.2,71,362.8043375619,-4.9277507406,-59.1376024978,nan,-71.4075180187,nan,-77.0898000044,nan,-77.4275362152,nan,0
0.2,72,369.0510522435,-47.3430882029,-61.3035783742,nan,-72.2320829396,nan,-76.2770227949,nan,-76.9738564678,nan,0
0.2,73,172.7302809048,653.1015632916,-65.1516703662,nan,-71.3957200401,nan,-73.3617949242,nan,-75.4186430554,nan,0
0.2,74,629.3410884461,724.7754038149,-63.4235828325,nan,-70.961896273,nan,-72.3551952896,nan,-75.0727622878,nan,0
0.2,75,972.3052603555,73.9310608779,-66.0541216633,nan,-70.447683918,nan,-75.0481549955,nan,-76.5809689882,nan,0
0.2,76,719.3397710594,357.864171548,-65.9079398307,nan,-70.4110480043,nan,-72.1060869099,nan,-73.581625391,nan,0
0.2,77,406.8329993683,316.473526515,-61.4457397961,nan,-70.9389181397,nan,-71.8377649006,nan,-73.9718629528,nan,0
0.2,78,339.7460692831,220.9331441205,-66.390779056,nan,-72.0906916046,nan,-72.3652714197,nan,-73.5662223341,nan,0
0.2,79,-112.1817468873,440.1416212127,-66.7131331887,nan,-69.3023462989,nan,-72.9614197984,nan,-73.1094558777,nan,0
0.2,80,510.2811178807,940.5992878263,-67.0207953136,nan,-70.3388740349,nan,-74.2212985514,nan,-75.2158546913,nan,0
0.2,81,374.2688274375,635.5221132647,-65.3755684074,nan,-72.299212283,nan,-72.6737496281,nan,-74.3883447597,nan,0
0.2,82,1123.088248237,489.866731924,-61.9639212958,nan,-73.7419072727,nan,-77.2986872147,nan,-78.656826493,nan,0
0.2,83,127.9019856434,748.4649701533,-62.9834063561,nan,-72.4350918453,nan,-75.141785667,nan,-76.4010973482,nan,0
0.2,84,677.1212907502,103.2485658933,-59.9568448048,nan,-71.0408375527,nan,-71.560610747,nan,-76.9304599799,nan,0
0.2,85,293.044598151,149.6333897461,-67.0573508098,nan,-68.7460409348,nan,-74.7479513828,nan,-74.9412328545,nan,0
0.2,86,955.5949943552,345.3663008082,-58.0664175333,nan,-71.3801493283,nan,-77.2934913735,nan,-77.4531033369,nan,0
0.2,87,859.8099758692,977.8329232554,-66.713784739,nan,-73.3254225257,nan,-73.8602948468,nan,-75.6285446337,nan,0
0.2,88,389.611236908,690.7541129969,-66.8396830088,nan,-71.4011827776,nan,-72.7076754415,nan,-73.8747981133,nan,0
0.2,89,69.3276082745,196.5309618461,-66.743057814,nan,-70.8135109635,nan,-74.0090721666,nan,-75.1139488954,nan,0
0.2,90,1076.9235131996,613.0777780616,-70.5156302459,nan,-73.5363051725,nan,-74.1133681519,nan,-74.8396740621,nan,0
0.2,91,-6.9770824812,390.5763918057,-53.325949255,nan,-71.1460517567,nan,-72.1029169119,nan,-72.1492078707,nan,0
0.2,92,416.172690896,276.1833309178,-62.8308659332,nan,-71.4711220245,nan,-71.7945451778,nan,-74.3646334848,nan,0
0.2,93,675.9984807283,173.4282801269,-63.4899382704,nan,-71.2734729706,nan,-72.2052468954,nan,-75.3741555275,nan,0
0.2,94,725.6832511822,957.6643068221,-58.022833435,nan,-71.7231430593,nan,-73.1915529276,nan,-77.5531717139,nan,0
0.2,95,37.210527934,286.1424306101,-66.1977562574,nan,-68.9261025568,nan,-73.8154144724,nan,-75.8902306011,nan,0
0.2,96,755.0436408342,58.1526020991,-57.1231882144,nan,-70.8009081103,nan,-71.215091727,nan,-71.9959026433,nan,0
0.2,97,328.5953700474,494.9376083402,-66.8786861129,nan,-68.575541162,nan,-73.5601074363,nan,-73.6987988096,nan,0
0.2,98,723.1031093074,-22.6207987939,-51.9721303335,nan,-70.7671811496,nan,-70.8164324564,nan,-71.2676572603,nan,0
0.2,99,882.3035158175,419.8500127268,-66.4590172943,nan,-69.4567620965,nan,-70.1382988675,nan,-76.2265327849,nan,0
0.2,100,669.3515886189,852.7607265958,-62.5608086968,nan,-68.8003947044,nan,-70.2214179334,nan,-72.4562621128,nan,0
0.2,101,248.0424836444,543.6054132269,-67.9362446683,nan,-69.7273454687,nan,-70.1077100155,nan,-74.6711756282,nan,0
0.2,102,613.85237297,641.3953463009,-66.2268184504,nan,-72.86955447,nan,-73.1014569284,nan,-73.6721724077,nan,0
0.2,103,410.1562174301,516.8113571291,-60.5746192299,nan,-70.4939192979,nan,-72.0309977531,nan,-73.6220539338,nan,0
0.2,104,382.0983812958,160.8091247115,-67.3514755772,nan,-70.3521571811,nan,-73.065926138,nan,-74.3043003196,nan,0
0.2,105,707.3181812688,512.4996519812,-65.8344859752,nan,-70.1437510592,nan,-72.2948640323,nan,-73.5500615405,nan,0
0.4,1,1165.9383843708,153.9197515981,-71.7559910084,-7.3113715204,-76.1381940336,-11.6935745456,-76.4889511618,-12.0443316737,-77.0244810528,-12.5798615648,0
0.4,2,15.0197706215,96.6320512085,-69.1888017912,-6.9647765435,-70.9730788506,-8.7490536028,-74.6766707932,-12.4526455455,-76.2605388419,-14.0365135941,0
0.4,3,540.0656521343,148.0039388668,-67.5153395608,-7.4232877516,-69.9166525903,-9.8246007811,-70.3946512869,-10.3025994777,-74.3988587006,-14.3068068914,0
0.4,4,1048.321981058,694.0681541883,-70.4499828332,-7.8162381882,-70.6343300378,-8.0005853927,-75.0681882295,-12.4344435845,-76.3494885071,-13.715743862,0
0.4,5,528.7907894997,459.1886734426,-55.3017887235,-3.6737933526,-66.0878589169,-14.459863546,-70.9854110903,-19.3574157194,-71.1306970365,-19.5027016656,0
0.4,6,676.8602933424,436.270345369,-62.6762872391,-4.729614259,-71.5914323868,-13.6447594066,-71.6247373822,-13.678064402,-74.3277278835,-16.3810549033,0
0.4,7,401.714856475,97.8222925662,-65.8471250227,-6.1622910201,-68.9998488034,-9.3150148008,-73.6390905131,-13.9542565106,-75.9308981823,-16.2460641797,0
0.4,8,-58.5282321961,539.2329683817,-59.4117256673,-3.6255483567,-71.213237749,-15.4270604384,-73.569298666,-17.7831213553,-78.7870347178,-23.0008574071,0
0.4,9,64.7804399832,911.7709661526,-68.6048110905,-6.143620455,-74.2867357181,-11.8255450826,-74.9659049867,-12.5047143512,-76.5996172909,-14.1384266554,0
0.4,10,549.8351885823,150.4841591527,-67.1851203599,-7.1562500825,-70.0495719778,-10.0207017005,-70.6971685018,-10.6682982245,-74.2365409648,-14.2076706875,0
0.4,11,40.7045422085,467.1532068703,-56.460548338,-3.4684736942,-70.3055350909,-17.3134604472,-70.8958420827,-17.9037674389,-71.9608214871,-18.9687468433,0
0.4,12,332.1815386873,872.8242273131,-56.6520273841,-3.4316568332,-71.4765873484,-18.2562167975,-76.588797388,-23.3684268371,-76.5987617026,-23.3783911517,0
0.4,13,1079.4570449389,943.2286343122,-68.6878037884,-5.1374674225,-75.6286497607,-12.0783133948,-76.1987534698,-12.648417104,-79.6511389768,-16.100802611,0
0.4,14,274.6807665907,267.3084060241,-68.2109587165,-8.006357427,-69.3297957886,-9.125194499,-70.194023621,-9.9894223315,-74.8482338402,-14.6436325506,0
0.4,15,1054.1807545134,638.9353618941,-69.2124632989,-6.7924971086,-72.7817040193,-10.361737829,-74.1547160072,-11.7347498169,-76.8221748152,-14.4022086249,0
0.4,16,709.5311586233,539.266724765,-66.9750364588,-7.0871907136,-69.3320037881,-9.4441580429,-71.5932861191,-11.7054403739,-74.0092515497,-14.1214058044,0
0.4,17,562.4402043402,425.5578949565,-54.9663665265,-3.5206699728,-71.1769352119,-19.7312386582,-71.4692440791,-20.0235475254,-72.8045171143,-21.3588205606,0
0.4,18,341.9630204121,142.6975684951,-68.0719707536,-7.5384170154,-70.7978229571,-10.2642692189,-72.141332344,-11.6077786058,-74.473944058,-13.9403903198,0
0.4,19,172.7565198847,294.9237332402,-67.9731764412,-7.7404571359,-68.5107135824,-8.277994277,-72.0335804373,-11.800861132,-74.2417225874,-14.0090032821,0
0.4,20,852.8362754687,134.5566628132,-68.1954634365,-7.5763643087,-69.1875578231,-8.5684586953,-73.9730842532,-13.3539851254,-73.9989986616,-13.3798995338,0
0.4,21,245.339950423,-52.1038346633,-55.3139610579,-3.4591106421,-72.5748479492,-20.7199975333,-73.6331530061,-21.7783025902,-73.6806040481,-21.8257536322,0
0.4,22,992.0493986873,816.4482903027,-66.025185468,-5.0954680525,-71.5748546555,-10.6451372401,-75.238627915,-14.3089104995,-77.2204263776,-16.2907089621,0
0.4,23,15.3984990032,417.3962762344,-56.2452163402,-5.2910330981,-59.7939925318,-8.8398092896,-68.8097100732,-17.8555268311,-71.3613689826,-20.4071857404,0
0.4,24,1181.1486103146,122.8401900037,-71.3790577787,-6.7311951289,-76.7494465209,-12.1015838711,-77.3388663526,-12.6910037028,-77.7314445597,-13.0835819099,0
0.4,25,870.6490316282,-23.0640735014,-59.9090892753,-3.6744689391,-71.787952841,-15.5533325048,-73.5843559144,-17.3497355782,-79.4767489079,-23.2421285717,0
0.4,26,845.5801679469,1110.3343640265,-72.7584672602,-7.7722013871,-75.1450088875,-10.1587430144,-75.2988456784,-10.3125798053,-77.573293034,-12.5870271609,0
0.4,27,931.4139256229,304.9514008598,-61.0078048669,-3.9196124727,-71.5250639673,-14.4368715731,-76.6679059801,-19.5797135859,-77.3396848097,-20.2514924155,0
0.4,28,19.835911338,588.5258237887,-64.9299621619,-5.4202953916,-69.2072481908,-9.6975814205,-73.9421222326,-14.4324554623,-76.2401465488,-16.7304797785,0
0.4,29,713.3996441704,553.4626478789,-67.8395554061,-7.7817364598,-69.0462425052,-8.9884235589,-70.8792724838,-10.8214535375,-74.3843157842,-14.3264968379,0
0.4,30,517.3040440041,836.5867383429,-66.5029716728,-6.1078007837,-72.1305510183,-11.7353801293,-72.5721845337,-12.1770136446,-74.6886199786,-14.2934490895,0
0.4,31,508.9182642944,384.4779694257,-56.9242212252,-3.85184503,-69.6628321479,-16.5904559527,-70.8644522577,-17.7920760625,-71.993419384,-18.9210431888,0
0.4,32,1107.154825163,586.3274387951,-70.5021023021,-7.7087393491,-73.5920512425,-10.7986882895,-74.1314494264,-11.3380864734,-74.5419261756,-11.7485632226,0
0.4,33,-24.8940324829,-111.2480406377,-70.8302668323,-6.760503217,-74.2609152829,-10.1911516676,-75.7790886912,-11.7093250759,-78.3453194607,-14.2755558454,0
0.4,34,-55.8191189429,644.3223129002,-65.1632578556,-4.9659924817,-70.8216763008,-10.6244109269,-74.8832480279,-14.685982654,-77.0591763618,-16.8619109879,0
0.4,35,1227.8558681526,132.452396279,-72.2032441923,-7.1055301981,-76.2886233394,-11.1909093452,-76.9443358937,-11.8466218995,-77.7635642474,-12.6658502532,0
0.4,36,238.6002139869,303.585834247,-68.3375061297,-8.1351227095,-69.3049497853,-9.102566365,-70.0038501483,-9.801466728,-74.726626751,-14.5242433308,0
0.4,37,150.5195175801,743.6009159553,-62.1863026172,-4.1827406574,-72.0486668271,-14.0451048673,-76.0124403017,-18.0088783419,-76.4538033577,-18.4502413979,0
0.4,38,-163.1496010762,875.7649115194,-71.5057762073,-6.4127814985,-77.5057782106,-12.4127835019,-77.5456767115,-12.4526820028,-78.5023130406,-13.4093183319,0
0.4,39,459.9501645441,189.1399823585,-66.6009937235,-6.7022404001,-70.2719357718,-10.3731824484,-71.2900684061,-11.3913150827,-73.9409461162,-14.0421927928,0
0.4,40,351.8691236821,723.9335265807,-68.1530970937,-7.6707409492,-69.7101118433,-9.2277556988,-73.2781946097,-12.7958384652,-74.3621717385,-13.879815594,0
0.4,41,978.3381658238,710.283951269,-68.1418544578,-6.7811078557,-69.6530941146,-8.2923475125,-74.7524674246,-13.3917208225,-75.5628386985,-14.2020920964,0
0.4,42,1137.7134261026,683.7842438295,-71.905709201,-7.7771667945,-75.5148239033,-11.3862814969,-75.6464032409,-11.5178608344,-76.1981601034,-12.069617697,0
0.4,43,246.8551356258,105.8820401905,-60.6819782462,-4.0671169658,-70.208223797,-13.5933625167,-76.7845423829,-20.1696811025,-76.9530475084,-20.338186228,0
0.4,44,-57.2765286306,199.423832047,-65.9439746178,-5.2312303824,-70.7833665034,-10.070622268,-75.0875950463,-14.3748508109,-76.7907085421,-16.0779643067,0
0.4,45,855.9377202396,416.6942238906,-68.2467176651,-8.0158706203,-68.7464405087,-8.5155934639,-72.3260945736,-12.0952475289,-75.1158676322,-14.8850205874,0
0.4,46,36.7301712986,853.4142821211,-72.3875550201,-9.0809166918,-73.1752467834,-9.8686084551,-74.4497903767,-11.1431520484,-74.4989647319,-11.1923264036,0
0.4,47,949.1169706612,901.858518449,-64.0355213413,-4.2735691899,-72.5495330554,-12.7875809041,-74.630192545,-14.8682403937,-79.2197506292,-19.4577984779,0
0.4,48,740.4134601609,435.0933501109,-65.5088932186,-5.8050481229,-72.4827369545,-12.7788918587,-72.6461386932,-12.9422935974,-74.5656779863,-14.8618328906,0
0.4,49,-117.6894933477,1046.8347197314,-72.780635799,-7.4481134275,-74.5386905147,-9.2061681432,-77.0767745231,-11.7442521516,-78.9039805164,-13.571458145,0
0.4,50,569.9615730407,502.5813921811,-62.6312517001,-5.10374711,-69.9577723914,-12.4302678013,-72.5339944089,-15.0064898188,-72.6841222686,-15.1566176785,0
0.4,51,412.2057547086,509.8515739398,-59.9522232924,-4.0611033131,-70.5531431933,-14.662023214,-71.9522239654,-16.0611039861,-73.4968253907,-17.6057054113,0
0.4,52,474.8825880608,807.3714808577,-65.5134534669,-5.6691611038,-70.9663203691,-11.122028006,-72.6027815972,-12.7584892341,-75.4385458002,-15.5942534371,0
0.4,53,705.1250649672,20.8558629279,-56.4420660999,-3.8052187556,-69.1071917655,-16.4703444212,-70.9318109258,-18.2949635815,-71.9662873772,-19.3294400329,0
0.4,54,120.4837341603,-89.3059376178,-63.2506644472,-4.0167136315,-73.9895093279,-14.7555585122,-76.9000263933,-17.6660755776,-78.6311626327,-19.397211817,0
0.4,55,244.5560963616,499.4492286013,-66.4675507765,-6.5583387207,-71.2266932042,-11.3174811484,-71.238054015,-11.3288419592,-73.8570939858,-13.94788193,0
0.4,56,366.6924635154,447.2183560849,-67.1979285646,-7.6878357707,-69.1141866789,-9.6040938851,-71.5796645313,-12.0695717375,-73.1666649653,-13.6565721715,0
0.4,57,823.7586651227,450.7586704466,-68.0633138675,-7.5820948264,-69.7223865798,-9.2411675387,-73.7199638535,-13.2387448124,-74.2026111828,-13.7213921417,0
0.4,58,309.0049005483,217.6464906452,-67.3408012954,-7.0827535504,-69.7975966176,-9.5395488726,-72.3820824043,-12.1240346593,-74.4167137203,-14.1586659753,0
0.4,59,985.6625637694,344.2911381365,-58.5205450244,-3.6174831745,-71.8959453128,-16.992883463,-77.4360828602,-22.5330210104,-77.5285643456,-22.6255024958,0
0.4,60,1208.0492322595,894.6201458657,-71.0826031524,-5.7542770448,-77.4143224986,-12.0859963909,-78.9826376765,-13.6543115688,-79.182681105,-13.8543549973,0
0.4,61,495.6945321653,122.1965336961,-68.1712165069,-7.9197847334,-69.6657307159,-9.4142989424,-69.8376387983,-9.5862070248,-75.2314960347,-14.9800642612,0
0.4,62,454.87237338,522.5581868911,-57.8732493871,-3.6834218188,-71.1228802407,-16.9330526724,-71.4091957759,-17.2193682075,-73.270839211,-19.0810116426,0
0.4,63,113.1217914671,349.6023967924,-63.8038804697,-5.1451601587,-69.5125883267,-10.8538680157,-72.8086554197,-14.1499351087,-75.4235649817,-16.7648446707,0
0.4,64,682.6422164066,747.7654450092,-60.7391543689,-4.1731058874,-71.329825775,-14.7637772935,-71.3864609574,-14.820412476,-76.7311667279,-20.1651182465,0
0.4,65,775.3002784282,429.8124955935,-66.6784118164,-6.4150789639,-73.238847961,-12.9755151085,-73.2816809091,-13.0183480566,-73.3739765718,-13.1106437194,0
0.4,66,-98.3585311183,-206.0623872987,-71.9257575751,-6.8075903592,-75.0908582539,-9.9726910379,-76.9783590554,-11.8601918394,-79.1388905564,-14.0207233404,0
0.4,67,823.1803566224,772.3935877281,-66.3698612717,-6.8924098186,-69.4555039476,-9.9780524944,-70.2928511821,-10.815399729,-73.1946714196,-13.7172199665,0
0.4,68,810.9094930687,913.2444666592,-59.6765101761,-3.9343868846,-71.7565190068,-16.0143957153,-72.1984849014,-16.4563616099,-72.7655912392,-17.0234679477,0
0.4,69,-58.136795851,139.8382247418,-68.1310710732,-6.0735011953,-71.333744041,-9.2761741632,-75.7819216801,-13.7243518022,-76.2539213847,-14.1963515069,0
0.4,70,248.3356956947,309.2571711599,-68.3539786417,-8.1694652107,-69.4443230403,-9.2598096093,-69.8681363438,-9.6836229128,-74.8668124009,-14.6822989699,0
0.4,71,360.7722653647,-2.2846013719,-59.0516962141,-3.6820616786,-71.3788997703,-16.0092652348,-77.1062239458,-21.7365894103,-77.4176886224,-22.0480540869,0
0.4,72,365.7237314746,-47.5540206586,-61.2401996231,-3.9449972357,-72.2283138714,-14.933111484,-76.3183318055,-19.0231294181,-76.9964805245,-19.7012781371,0
0.4,73,176.0606553315,653.2570051702,-65.1466723958,-5.4073442403,-71.3478829193,-11.6085547637,-73.3292995556,-13.5899714001,-75.433605443,-15.6942772874,0
0.4,74,626.2095784587,725.9196071179,-63.4751384485,-4.9541587486,-70.9264207716,-12.4054410718,-72.3910275058,-13.870047806,-74.9906621283,-16.4696824284,0
0.4,75,973.5318810424,70.8309064156,-66.0206176098,-5.3647965216,-70.498243949,-9.8424228607,-75.0499272642,-14.394106176,-76.6170331291,-15.9612120409,0
0.4,76,722.2530983339,356.2430360842,-65.9753799891,-6.276452189,-70.4158248769,-10.7168970768,-72.0200568009,-12.3211290008,-73.6159408797,-13.9170130796,0
0.4,77,403.5200912075,316.0990995951,-61.5314927702,-4.4142969876,-70.9141686248,-13.7969728422,-71.8711576795,-14.7539618969,-73.9868592539,-16.8696634713,0
0.4,78,337.4361026252,223.3372260741,-66.394609766,-6.310330802,-72.0212543581,-11.936975394,-72.3212180085,-12.2369390445,-73.585928253,-13.501649289,0
0.4,79,-110.627339978,437.1921508941,-66.8520407728,-6.7084763624,-69.0120824754,-8.868518065,-72.9629488917,-12.8193844812,-73.0861917479,-12.9426273375,0
0.4,80,513.5749976049,940.0836209161,-67.0571670825,-6.2085603819,-70.2709231782,-9.4223164777,-74.2459791534,-13.3973724528,-75.193899923,-14.3452932225,0
0.4,81,377.5965702744,635.726278912,-65.3438950525,-5.7286865721,-72.3167569094,-12.7015484291,-72.6306289471,-13.0154204667,-74.5061281807,-14.8909197004,0
